group,net_id,tde,gradient1,gradient2,gradient3,network,himoshpere,node
MDD,7Networks_LH_Cont_Cing_2,0.1077,-15.691271648869888,-11.788182188868982,-0.2834568195382606,control,LH,Cont_Cing_2
MDD,7Networks_LH_Cont_PFCmp_1,-0.085286,-11.497519382710108,-10.960211603238506,-2.664045688194961,control,LH,Cont_PFCmp_1
MDD,7Networks_LH_Default_Temp_1,-0.13737,-16.47704360342419,-13.36274732145151,1.097550423413214,DMN,LH,Default_Temp_1
MDD,7Networks_LH_Default_Temp_2,-0.0037001,-17.65743986948971,-13.459549679783517,0.19447845173821326,DMN,LH,Default_Temp_2
MDD,7Networks_LH_Default_Temp_3,0.10504,-11.680715396075206,-6.691696929439813,-2.7476698355039124,DMN,LH,Default_Temp_3
MDD,7Networks_LH_Default_Temp_4,-0.11548,-14.79386997109711,-11.757450518763223,1.581606511171447,DMN,LH,Default_Temp_4
MDD,7Networks_LH_Default_Temp_5,0.0013748,9.237744941583527,-6.147600813443419,5.765814741187967,DMN,LH,Default_Temp_5
MDD,7Networks_LH_Default_Temp_6,-0.016487,-13.792434114478365,-11.922511356449276,1.3216444008881287,DMN,LH,Default_Temp_6
MDD,7Networks_LH_Default_Temp_7,-0.091331,-11.976518901871545,-10.970395787579479,1.9762590784614793,DMN,LH,Default_Temp_7
MDD,7Networks_LH_Default_Temp_8,-0.079436,-9.833533215899923,-9.283669509062333,2.8141579654100934,DMN,LH,Default_Temp_8
MDD,7Networks_LH_Default_Temp_9,-0.050995,-7.825436759748935,-9.298363833112647,2.9105916616669463,DMN,LH,Default_Temp_9
MDD,7Networks_LH_Default_Temp_10,-0.14382,-8.901627647461268,-9.254521026440004,2.4715369704119374,DMN,LH,Default_Temp_10
MDD,7Networks_LH_Default_Par_1,-0.061294,-7.916304997396909,-7.600563276956261,2.8553141493957557,DMN,LH,Default_Par_1
MDD,7Networks_LH_Default_Par_2,-0.053268,-14.619590730943344,-10.142486300149246,1.504375958237459,DMN,LH,Default_Par_2
MDD,7Networks_LH_Default_Par_3,-0.027814,-17.161927507466487,-2.401529244419935,2.60926668697317e-4,DMN,LH,Default_Par_3
MDD,7Networks_LH_Default_Par_4,-0.052048,-18.59630918076333,-13.58110516683652,-0.12258241094895087,DMN,LH,Default_Par_4
MDD,7Networks_LH_Default_Par_5,-0.10204,-16.221685641782425,-13.778460187869701,0.6564573016913565,DMN,LH,Default_Par_5
MDD,7Networks_LH_Default_Par_6,0.071452,-18.138547817841115,-13.233911576251929,-1.4744163084569315,DMN,LH,Default_Par_6
